longitude	latitude	temperature moyenne
-84.5837630518	35.0419	2.77777777778
-78.0762822781	45.4433	-2.77777777778
-66.7959402079	31.53556	8.33333333333
-55.5829935041	41.25306	-6.11111111111
-77.1364203764	31.61889	10.5555555556
-98.4619803024	40.97806	4.44444444444
-59.1581371962	39.4494	-4.44444444444
-66.7047045738	41.86778	-6.66666666667
-73.4316824162	31.33472	9.44444444444
-57.1243045065	42.805	-15.5555555556
-77.2076079717	32.97333	10.5555555556
-63.4061238562	40.35472	-6.11111111111
-65.0258578363	33.3644	6.11111111111
-66.1081504631	33.948	5.55555555556
-64.3852488146	35.19667	4.44444444444
-81.8872899182	40.16667	8.88888888889
-61.0939352135	36.98389	-1.11111111111
-64.6298713836	41.0375	-9.44444444444
-58.5567753642	42.7431	-13.8888888889
-77.7682390431	27.74111	13.8888888889
-73.3067213316	42.5544	-3.88888888889
-83.9854159626	37.4389	-8.33333333333
-93.8433389618	46.09472	1.66666666667
-80.4698293057	35.13	8.33333333333
-65.4569660414	31.5358	8.33333333333
-76.8968752689	39.29417	9.44444444444
-74.2728590959	41.99056	-0.555555555556
-68.1138270427	33.5872	5.55555555556
-65.6180167695	34.4977	5.55555555556
-66.9250663976	46.4794	-10.0
-66.6632756624	40.7075	-10.0
-62.1356557505	40.29639	-5.55555555556
-83.1822171073	39.57028	6.66666666667
-97.0149752115	38.2102	5.0
-64.876628073	26.1522	13.3333333333
-66.2960958694	45.0716	-12.2222222222
-74.006641449	31.4	9.44444444444
-58.0470220425	42.7	-15.0
-72.8963910505	30.0375	10.5555555556
-66.4389312048	42.22278	-6.66666666667
-70.1970063101	41.77	-7.22222222222
-60.3120696296	43.9922	-21.6666666667
-71.2607582694	30.34333	8.88888888889
-84.7861157548	39.23	-1.66666666667
-98.2825951786	46.1569	1.11111111111
-72.1308050771	46.54861	-3.33333333333
-66.9921840902	33.6301	6.66666666667
-77.5585398882	30.3208	10.5555555556
-77.0738009973	44.9047	-2.22222222222
-55.373841763	44.3155	-17.2222222222
-77.7464218263	40.89306	5.55555555556
-77.4946749443	30.1831	7.22222222222
-71.1064351776	44.9288	-5.55555555556
-65.4814013243	35.43194	2.22222222222
-60.0781890649	41.3336	-10.0
-93.9455942739	33.405	12.7777777778
-71.5877943833	35.135	5.0
-75.6812278791	45.8679	-4.44444444444
-67.8729173674	42.23472	-10.0
-81.8136111935	36.4701	9.44444444444
-81.5623561907	31.6219	11.6666666667
-76.8395237559	40.6954	5.0
-84.5091085025	35.8584	-7.77777777778
-87.8337350103	43.6615	-1.66666666667
-89.4912881442	31.9497	10.5555555556
-68.8601345299	34.1954	4.44444444444
-67.0150326664	31.3127	7.77777777778
-60.1251555826	39.8593	-5.55555555556
-87.4985432241	46.8847	-7.22222222222
-88.3904310492	40.5467	5.55555555556
-57.6895687615	42.15778	-11.6666666667
-77.7849629315	29.7089	8.88888888889
-79.0444351598	41.43333	7.22222222222
-88.9710546248	37.70639	-5.55555555556
-75.0512259916	48.71667	-3.88888888889
-57.6629041557	41.9381	-11.1111111111
-58.0170491533	41.15833	-6.66666666667
-56.5577153515	42.47	-12.2222222222
-68.568259836	42.1256	-9.44444444444
-62.3839912131	41.8	-15.5555555556
-82.1858525808	41.8705	5.55555555556
-97.0277720009	47.53028	-0.555555555556
-94.4520472457	35.4344	12.7777777778
-69.869089574	30.62639	8.88888888889
-80.4420619388	35.695	12.7777777778
-60.2789867953	42.2068	-15.0
-54.5973868488	44.7978	-16.1111111111
-82.7070857254	46.35833	-5.55555555556
-68.8194355036	33.56556	6.66666666667
-93.8997146502	37.3711	1.11111111111
-86.1123169326	45.8069	-2.22222222222
-79.9360611784	46.7825	-1.66666666667
-68.3050807325	42.74611	-8.33333333333
-64.9650631698	40.87306	-8.33333333333
-73.7554181803	31.15	9.44444444444
-93.463846325	44.8428	-7.22222222222
-64.8039648405	41.5175	-3.88888888889
-65.4155053958	28.47361	9.44444444444
-64.3592030244	37.7836	-3.88888888889
-64.4264000524	37.2958	-2.77777777778
-91.0088937488	33.6186	10.5555555556
-97.215312797	48.79389	-1.66666666667
-95.7658403772	39.2774	1.11111111111
-68.7176244694	39.13333	-6.11111111111
-70.5687796189	40.48333	-5.0
-56.4697880008	44.57611	-22.2222222222
-77.9353827248	30.7406	9.44444444444
-68.7750870518	36.1188	1.66666666667
-94.374457289	43.595	-7.22222222222
-92.2197889521	43.5666	-2.77777777778
-56.3364967061	42.3606	-10.5555555556
-87.3541529161	42.58444	-3.88888888889
-73.3616055157	36.36889	5.0
-74.5915253321	29.95056	12.2222222222
-74.6790084049	46.40472	-2.22222222222
-72.294545273	40.78333	-1.66666666667
-77.2908624712	25.9141	21.1111111111
-67.634252882	42.3075	-10.5555555556
-89.2527267948	45.9647	-3.33333333333
-72.3116975722	30.5372	9.44444444444
-58.033717507	44.4683	-18.3333333333
-62.4653099305	42.9408	-11.6666666667
-93.8993179735	34.20056	10.0
-63.0532958251	36.04667	1.66666666667
-70.9317387721	29.333	9.44444444444
-76.1826271901	36.7683	5.55555555556
-56.2626355101	42.58417	-12.2222222222
-68.5646104107	36.9647	0.555555555556
-60.8369521996	39.1666	-2.77777777778
-84.6675490981	44.38139	0.0
-90.2567154469	42.5416	2.22222222222
-76.0534930669	28.97306	11.6666666667
-88.1897919894	45.788	-2.77777777778
-69.7164801254	30.5485	8.33333333333
-88.2524669033	40.2816	-6.11111111111
-66.9959128509	31.1923	8.33333333333
-86.4498887789	40.2446	1.66666666667
-90.2448151468	38.5943	3.33333333333
-82.014408924	46.8946	-6.66666666667
-68.4787695792	34.3337	5.55555555556
-81.3207007632	38.5443	2.22222222222
-88.7310969735	34.6136	7.22222222222
-76.6102446406	40.8484	5.0
-81.0570694482	48.9676	-6.66666666667
-84.798285795	34.3557	3.88888888889
-64.3553155931	33.9419	5.55555555556
-85.3046594315	40.49278	-1.66666666667
-64.6054043665	40.91667	-7.77777777778
-81.8374911291	36.4486	10.0
-53.9617521526	46.8705	-18.8888888889
-96.8327419492	37.9917	6.11111111111
-89.7238200082	37.7086	5.55555555556
-74.2413471012	39.82333	4.44444444444
-81.7932220127	42.8374	1.11111111111
-79.5599323598	34.4272	10.5555555556
-58.9327137781	40.87639	-6.66666666667
-98.5635771312	41.78028	2.77777777778
-65.7581943712	34.67194	6.66666666667
-68.6429143853	30.77972	8.88888888889
-86.1791093503	37.30694	-1.11111111111
-75.8179147261	37.09111	6.11111111111
-71.0610553666	37.2252	0.555555555556
-67.594807354	35.03111	3.88888888889
-62.2409972071	38.13861	-1.11111111111
-63.5001600276	32.8986	8.33333333333
-72.7636709702	41.8833	-3.33333333333
-63.6498578694	39.29556	-8.33333333333
-69.3545047304	36.62389	0.555555555556
-64.9381764251	41.405	-7.22222222222
-76.4512724982	30.58917	11.6666666667
-97.9778126259	48.12028	-1.11111111111
-64.2260783339	35.2236	4.44444444444
-94.4751576285	34.21667	12.2222222222
-65.7537833266	39.99139	-8.33333333333
-70.2029564602	47.16861	-9.44444444444
-77.4715883621	39.5514	7.22222222222
-82.7134325521	32.3335	10.0
-93.3270008074	33.97528	8.88888888889
-75.7526852144	37.67028	6.11111111111
-87.0806681527	38.75	-4.44444444444
-56.7256365195	43.1952	-15.0
-83.0548918297	38.81	6.11111111111
-78.7151935236	28.45667	11.6666666667
-73.161696341	38.8169	2.77777777778
-84.4714242188	42.8977	0.0
-71.5265316384	38.57139	-0.555555555556
-83.8279194575	35.00278	-1.11111111111
-93.8466393117	34.0236	12.7777777778
-55.5294421536	41.6875	-7.22222222222
-62.4558610922	33.81167	5.55555555556
-64.6699595278	30.3361	8.88888888889
-77.3616295891	27.7742	15.0
-93.0440354715	33.12806	13.3333333333
-76.4783813819	32.03111	10.5555555556
-64.7296990344	38.3794	-2.77777777778
-67.3891781017	32.5161	7.77777777778
-78.6371830897	35.21	8.33333333333
-67.4995335513	35.9509	1.66666666667
-89.1532402859	48.6033	-11.1111111111
-65.9318514838	29.63333	8.33333333333
-64.2583122802	33.97056	6.11111111111
-82.2004423487	43.73306	1.11111111111
-67.1745522225	39.04306	-5.55555555556
-75.6969283417	30.35667	9.44444444444
-60.9703069625	40.21722	-5.0
-83.1566790633	41.15	5.0
-92.4040849331	32.6233	6.11111111111
-69.5853388183	34.4535	3.88888888889
-80.9372492932	45.03194	0.555555555556
-84.6775374166	39.4827	-2.22222222222
-85.4384426053	38.544	-1.11111111111
-81.9547487528	45.516	-2.77777777778
-64.8827368937	40.3667	-7.77777777778
-54.50385049	44.9281	-17.7777777778
-79.6153877582	44.0194	1.66666666667
-90.0900319101	43.4621	-2.77777777778
-82.7905464968	36.0609	3.88888888889
-77.0277865036	36.1181	6.11111111111
-64.2999395299	29.1828	10.5555555556
-92.6524045286	34.8536	8.88888888889
-76.8406344506	32.8519	11.1111111111
-62.9415599407	36.5728	0.0
-56.2663801379	43.27806	-14.4444444444
-66.8151155582	39.90611	-8.33333333333
-71.96001197	42.39778	-4.44444444444
-61.1152605513	38.8483	0.0
-68.9783283106	34.6525	3.88888888889
-79.3097880516	37.7686	7.22222222222
-58.1107045151	42.89139	-14.4444444444
-70.5017888629	39.83444	-2.77777777778
-83.0303772115	39.8328	7.77777777778
-74.8932138068	34.05	6.66666666667
-65.8562607776	42.40917	-6.66666666667
-93.1621578503	47.97417	-5.55555555556
-66.9819418986	41.3375	-7.22222222222
-76.9702683864	32.8978	10.5555555556
-83.6079860445	42.79722	3.33333333333
-67.7920429279	31.3167	10.5555555556
-81.3583850469	36.0167	6.66666666667
-81.5545019926	46.7994	-6.11111111111
-62.8908805293	42.49333	-13.8888888889
-73.1339289741	46.8369	-5.0
-89.2954092045	45.2575	-3.33333333333
-96.1275301651	45.6194	1.11111111111
-60.777926711	39.2814	-0.555555555556
-85.460466094	32.26222	8.33333333333
-73.927306115	38.70417	6.66666666667
-73.7545692922	31.1136	10.5555555556
-65.0856052763	33.46694	8.33333333333
-70.0105682751	41.91444	-7.22222222222
-92.0510426966	36.6206	7.22222222222
-85.4919780887	37.14306	-2.22222222222
